,Country_Region,Confirmed,Deaths,Recovered,Active,Incident_Rate,Mortality_Rate,ISO3,Cases_28_Days,Deaths_28_Days
0,US,80103665,980624,,,24313.16014209563,1.2241936745341178,USA,905455,24402
1,India,43024440,521129,,,3117.7031368635826,1.2112394722627418,IND,79280,6741
2,Brazil,29951670,660022,,,14090.964093713677,2.203623370583343,BRA,1074109,9515
3,France,25803173,143307,,,39545.18787118002,0.5553851846050096,FRA,2615765,3387
4,Germany,21394747,129708,,,25728.746346086984,0.6062609667690859,DEU,5967841,6094
5,United Kingdom,21309769,165977,,,31390.519023626734,0.7788775185690656,GBR,2068670,3504
6,Russia,17583111,361348,,,12048.635394272194,2.0550857012732275,RUS,1210318,14817
7,Turkey,14860560,98033,,,17620.019438915537,0.6596857722723773,TUR,640103,3140
8,Italy,14642354,159383,,,24217.51786929102,1.088506670443837,ITA,1700072,4010
9,"Korea, South",13375818,16590,,,26089.391750205967,0.1240297976542444,KOR,9404143,7836
10,Spain,11508309,102218,,,24614.18546205209,0.8882104225738117,ESP,453421,2181
11,Vietnam,9564609,42493,,,9826.123110914816,0.4442732577986199,VNM,5762773,2002
12,Argentina,9037911,128019,,,19997.24664541114,1.4164667034229481,ARG,122810,1607
13,Netherlands,8035972,22604,,,46898.34584709207,0.28128520109328403,NLD,1389910,388
14,Iran,7162220,140204,,,8527.167749418217,1.9575494748834856,IRN,92758,2891
15,Japan,6555585,28120,,,5183.245248692844,0.42894722591500223,JPN,1360214,3878
16,Colombia,6084916,139621,,,11958.669638301162,2.294542767722677,COL,17528,696
17,Indonesia,6012818,155089,,,2198.2810764266683,2.579306408409501,IDN,379390,5964
18,Poland,5962931,115173,,,15755.524174493325,1.9314830240363337,POL,263173,3176
19,Mexico,5657077,322948,,,4426.775024589511,5.708743225520883,MEX,132567,4314
20,Ukraine,5040518,112459,,,11525.462515124758,2.2311000575734483,UKR,0,0
21,Australia,4562895,6006,,,17922.029717553618,0.13162696051519926,AUS,1210897,677
22,Malaysia,4201919,34983,,,12982.51022570044,0.8325481762023494,MYS,687269,1997
23,Israel,3918225,10485,,,45268.4009006485,0.2675956587485405,ISR,253074,248
24,Austria,3831048,15865,,,42536.951501154734,0.4141164506422264,AUT,1061132,924
25,Czechia,3815526,39673,,,35629.212935459225,1.0397780017748537,CZE,215992,932
26,Belgium,3807447,30747,,,33129.4347400219,0.8075489954292207,BEL,243606,548
27,South Africa,3718953,100032,,,6270.5026868743835,2.6897893036023848,ZAF,39381,562
28,Philippines,3678245,59249,,,3356.64225262964,1.6107953657246867,PHL,14004,2621
29,Thailand,3628347,25130,,,5198.20650946337,0.6926018928178589,THA,670185,2060
30,Portugal,3588776,21695,,,35195.44103797431,0.6045236593200579,PRT,251546,434
31,Peru,3546696,212207,,,10756.740766046281,5.983230589822187,PER,26092,1356
